Topic,Frequency,date,Name
2,150,17/4/2020,2_singaporean_singaporeans_proud_ministe...
3,51,17/4/2020,3_hardcore_gastor_gateway_gates
4,89,17/4/2020,4_leadership_leaders_proud_kindness
5,76,17/4/2020,5_mask_wear_masks_face
6,120,17/4/2020,6_phase_ntuc_june_time
7,25,17/4/2020,7_hari_allah_muslim_ramadan
8,32,17/4/2020,8_police_jail_enforcement_fines
9,69,17/4/2020,9_care_appreciate_advice_caring
10,93,17/4/2020,10_safe_healthy_care_stay
11,125,17/4/2020,11_home_stay_safe_staying
12,23,17/4/2020,12_thanku_dear_sri_merci
13,73,17/4/2020,13_covid_fight_fighting_pandemic
14,84,17/4/2020,14_school_parents_schools_teachers
15,10,17/4/2020,15_china_taiwan_chinese_kong
16,73,17/4/2020,16_virus_coronavirus_corona_infected
17,66,17/4/2020,17_nurses_doctors_nurse_staff
18,18,17/4/2020,18_happy_wishes_buddha_wish
19,33,17/4/2020,19_minister_honorable_ministers_honourab...
20,159,17/4/2020,20_supermarket_shop_supermarkets_shops
21,12,17/4/2020,21_election_pap_vote_party
22,49,17/4/2020,22_government_govt_governance_sg
23,39,17/4/2020,23_mrt_bus_buses_train
24,52,17/4/2020,24_team_hard_teams_appreciate
25,35,17/4/2020,25_test_testing_tested_tests
26,74,17/4/2020,26_dorms_dormitories_dormitory_dorm
27,15,17/4/2020,27_lot_alot_thanksa_thankspm
28,68,17/4/2020,28_circuit_breaker_measures_extend
29,38,17/4/2020,29_sg_united_strong_congratulations
30,55,17/4/2020,30_bangladesh_bangladeshi_love_respect
31,132,17/4/2020,31_drink_language_sip_tea
32,3,17/4/2020,32_otters_animals_otter_fishes
33,26,17/4/2020,33_pray_praying_prayers_prayer
34,59,17/4/2020,34_exercise_jogging_exercising_cycling
35,11,17/4/2020,35_salon_barber_haircut_hairdresser
36,6,17/4/2020,36_sad_suicide_cry_crying
37,17,17/4/2020,37_love_dear_leemagiccup_amorous
38,13,17/4/2020,38_eat_food_eating_dine
39,54,17/4/2020,39_migrant_workers_migrants_care
40,120,17/4/2020,40_extend_cb_ccb_extension
