Topic,Frequency,date,Name
12,30,23/6/2020,12_money_pay_salary_donate
13,10,23/6/2020,13_choice_paa_lc_pr
14,102,23/6/2020,14_psp_ps_go_win
15,64,23/6/2020,15_virus_infected_vaccine_testing
16,14,23/6/2020,16_singapura_majullah_singapureans_singa...
17,10,23/6/2020,17_love_boos_animal_honesty
18,27,23/6/2020,18_thank_thanku_thankyou_notifying
19,7,23/6/2020,19_congrats_congratulation_congratulated...
20,11,23/6/2020,20_pray_bless_blessing_blessings
21,22,23/6/2020,21_father_fathers_dad_blessed
22,46,23/6/2020,22_election_elections_campaign_polling
23,15,23/6/2020,23_luck_lucky_best_fortune
24,14,23/6/2020,24_vote_opposition_election_parties
25,15,23/6/2020,25_sg_united_together_sar
26,7,23/6/2020,26_best_rocky_betterment_choices
27,29,23/6/2020,27_years_time_countdown_admin
28,8,23/6/2020,28_monkey_monkeys_food_steal
29,13,23/6/2020,29_morning_sirs_herro_morningeverbody
30,20,23/6/2020,30_talk_listening_dialogue_louder
31,73,23/6/2020,31_eat_food_eating_lunch
32,86,23/6/2020,32_mask_eating_eat_coffee
33,1,23/6/2020,33_hari_proud_muslim_muslims
34,1,23/6/2020,34_nurses_nurse_nursing_doctors
35,14,23/6/2020,35_photo_picture_pic_beautiful
36,24,23/6/2020,36_vote_voted_votes_voting
37,17,23/6/2020,37_covid_test_ge_markets
38,29,23/6/2020,38_hope_future_better_tomorrow
39,9,23/6/2020,39_vote_election_votepap_papy
40,4,23/6/2020,40_pink_tie_color_wear
41,33,23/6/2020,41_social_ambassadors_ambassador_gatheri...
42,11,23/6/2020,42_goodmorning_goodluck_lidder_mmorning
43,10,23/6/2020,43_support_supporting_heartedly_izzy
44,4,23/6/2020,44_wishes_wish_administration_victories
46,25,23/6/2020,46_parliament_opposition_debates_debate
47,12,23/6/2020,47_hello_dear_cavair_archana
48,24,23/6/2020,48_police_enforcement_fined_laws
49,13,23/6/2020,49_china_chinese_mandarin_coronavirus
50,1,23/6/2020,50_team_congratulations_members_superbbb
51,1,23/6/2020,51_congratulations_dear_welcome_respecte...
52,3,23/6/2020,52_evening_night_goodnight_nights
53,4,23/6/2020,53_song_rendition_sang_singing
54,5,23/6/2020,54_hero_super_superman_star
55,12,23/6/2020,55_job_jobs_worked_rewarded
56,103,23/6/2020,56_liverpool_fan_fc_fans
57,98,23/6/2020,57_esm_contributions_missed_contribution
58,5,23/6/2020,58_allah_bless_pray_insha
59,10,23/6/2020,59_video_watching_watch_screen
60,12,23/6/2020,60_malaysia_malay_malaysian_malays
62,4,23/6/2020,62_bangladesh_bangladeshi_workers_respec...
63,11,23/6/2020,63_shake_hands_fist_hand
64,11,23/6/2020,64_thanks_pro_sb_thankspro
65,15,23/6/2020,65_smile_happy_smiling_glad
